CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
02/20/2018,X (Nov 18),0.00,0.00,0.00,0.00,17.7750,17.78,0,0,0
02/21/2018,X (Nov 18),17.75,17.98,17.62,17.98,18.1750,0.40,143,0,122
02/22/2018,X (Nov 18),17.90,18.00,17.70,17.71,17.6500,-0.52,10,0,126
02/23/2018,X (Nov 18),17.73,17.74,15.25,17.30,17.3000,-0.35,67,0,171
