Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2019-05-28,G (Feb 2020),0.0,0.0,0.0,0.0,18.125,0.0,0,0,0
2019-05-29,G (Feb 2020),0.0,17.5,18.5,0.0,18.0,-0.125,0,0,0
2019-05-30,G (Feb 2020),0.0,17.75,18.5,0.0,18.125,0.125,0,0,0
2019-05-31,G (Feb 2020),18.3,18.5,18.3,18.45,18.25,0.125,24,0,12
2019-06-03,G (Feb 2020),18.5,18.65,18.4,18.45,18.075,-0.175,6,0,18
2019-06-04,G (Feb 2020),0.0,17.75,18.25,0.0,18.025,-0.05,0,0,18
2019-06-05,G (Feb 2020),0.0,18.0,18.25,0.0,18.075,0.05,0,0,15
2019-06-06,G (Feb 2020),0.0,17.9,18.1,0.0,17.875,-0.2,0,0,15
2019-06-07,G (Feb 2020),0.0,17.95,17.9,0.0,17.975,0.1,0,0,15
2019-06-10,G (Feb 2020),17.86,17.87,17.8,17.84,17.825,-0.15,19,0,24
2019-06-11,G (Feb 2020),17.77,17.82,17.68,17.82,17.75,-0.075,58,0,71
2019-06-12,G (Feb 2020),17.8,17.9,17.75,17.85,17.85,0.1,51,0,104
2019-06-13,G (Feb 2020),17.8,17.88,17.79,17.8,17.825,-0.025,61,0,117
2019-06-14,G (Feb 2020),17.8,17.95,17.79,17.83,17.9,0.075,74,0,169
2019-06-17,G (Feb 2020),17.81,17.85,17.7,17.7,17.7,-0.2,9,0,173
2019-06-18,G (Feb 2020),17.75,17.75,17.5,17.65,17.675,-0.025,140,0,265
2019-06-19,G (Feb 2020),17.7,17.7,17.51,17.63,17.6,-0.075,146,0,335
2019-06-20,G (Feb 2020),17.6,17.73,17.42,17.48,17.5,-0.1,421,0,523
2019-06-21,G (Feb 2020),17.5,17.9,17.5,17.8,17.825,0.325,239,0,478
2019-06-24,G (Feb 2020),17.75,17.75,17.64,17.65,17.7,-0.125,100,0,502
2019-06-25,G (Feb 2020),17.75,17.99,17.75,17.99,17.95,0.25,236,0,635
2019-06-26,G (Feb 2020),17.9,17.95,17.8,17.91,17.9,-0.05,172,0,714
2019-06-27,G (Feb 2020),17.8,17.91,17.73,17.74,17.775,-0.125,151,0,756
2019-06-28,G (Feb 2020),17.75,17.75,17.5,17.56,17.5,-0.275,148,0,811
2019-07-01,G (Feb 2020),17.4,17.49,17.29,17.35,17.4,-0.1,154,0,799
2019-07-02,G (Feb 2020),17.37,17.4,17.17,17.2,17.2,-0.2,235,0,886
2019-07-03,G (Feb 2020),17.25,17.25,17.1,17.1,17.1,-0.1,101,0,913
2019-07-05,G (Feb 2020),17.1,17.4,17.05,17.14,17.125,0.025,227,0,987
2019-07-08,G (Feb 2020),17.15,17.33,17.11,17.2,17.25,0.125,303,0,1098
2019-07-09,G (Feb 2020),17.3,17.4,17.27,17.35,17.35,0.1,234,0,1112
2019-07-10,G (Feb 2020),17.35,17.4,17.16,17.24,17.225,-0.125,249,0,1142
2019-07-11,G (Feb 2020),17.2,17.32,17.11,17.15,17.15,-0.075,369,0,1125
2019-07-12,G (Feb 2020),17.1,17.2,17.09,17.12,17.15,0.0,195,0,1170
2019-07-15,G (Feb 2020),17.15,17.25,17.1,17.2,17.2,0.05,246,0,1263
2019-07-16,G (Feb 2020),17.15,17.42,17.15,17.42,17.375,0.175,820,0,1767
2019-07-17,G (Feb 2020),17.4,17.62,17.25,17.62,17.625,0.25,827,0,1981
2019-07-18,G (Feb 2020),17.6,17.67,17.35,17.4,17.475,-0.15,624,0,2127
2019-07-19,G (Feb 2020),17.45,17.66,17.4,17.65,17.575,0.1,804,0,2193
2019-07-22,G (Feb 2020),17.55,17.68,17.42,17.5,17.5,-0.075,717,0,2336
2019-07-23,G (Feb 2020),17.54,17.54,17.2,17.28,17.275,-0.225,607,0,2475
2019-07-24,G (Feb 2020),17.25,17.27,16.97,17.05,17.025,-0.25,892,0,2748
2019-07-25,G (Feb 2020),17.04,17.3,16.95,17.3,17.275,0.25,877,0,2777
2019-07-26,G (Feb 2020),17.3,17.3,16.97,17.14,17.125,-0.15,528,0,2869
2019-07-29,G (Feb 2020),17.14,17.2,17.07,17.08,17.075,-0.05,481,0,2777
2019-07-30,G (Feb 2020),17.1,17.45,17.1,17.33,17.325,0.25,1235,0,2899
2019-07-31,G (Feb 2020),17.3,17.85,17.15,17.75,17.725,0.4,2124,0,3421
2019-08-01,G (Feb 2020),17.8,18.05,17.31,17.95,17.95,0.225,2346,0,3758
2019-08-02,G (Feb 2020),17.95,18.15,17.79,17.83,17.875,-0.075,2672,0,4507
2019-08-05,G (Feb 2020),17.9,18.85,17.85,18.82,18.75,0.875,2776,0,5180
2019-08-06,G (Feb 2020),18.9,19.3,18.18,18.51,18.5,-0.25,3727,0,6003
2019-08-07,G (Feb 2020),18.5,18.9,18.27,18.37,18.35,-0.15,1680,0,6162
2019-08-08,G (Feb 2020),18.4,18.46,17.75,17.76,17.825,-0.525,1635,0,6009
2019-08-09,G (Feb 2020),17.84,18.19,17.84,18.01,18.025,0.2,1027,0,6121
2019-08-12,G (Feb 2020),18.0,18.75,17.9,18.7,18.725,0.7,1269,0,6477
2019-08-13,G (Feb 2020),18.7,18.87,18.06,18.11,18.075,-0.65,2513,0,6337
2019-08-14,G (Feb 2020),18.14,19.34,18.08,19.06,19.075,1.0,3309,0,7342
2019-08-15,G (Feb 2020),19.04,19.37,18.85,18.99,19.025,-0.05,1841,0,7881
2019-08-16,G (Feb 2020),18.95,18.95,18.6,18.64,18.625,-0.4,1426,0,7693
2019-08-19,G (Feb 2020),18.53,18.55,18.16,18.21,18.175,-0.45,2006,0,8093
2019-08-20,G (Feb 2020),18.21,18.65,18.15,18.65,18.625,0.45,3076,0,8653
2019-08-21,G (Feb 2020),18.67,18.7,18.23,18.3,18.325,-0.3,2528,0,8637
2019-08-22,G (Feb 2020),18.3,18.62,18.26,18.45,18.525,0.2,3956,0,8913
2019-08-23,G (Feb 2020),18.46,19.65,18.32,19.35,19.35,0.825,5187,0,9213
2019-08-26,G (Feb 2020),19.7,19.82,19.0,19.23,19.225,-0.125,3436,0,9382
2019-08-27,G (Feb 2020),19.25,19.72,19.1,19.51,19.625,0.4,5336,0,10193
2019-08-28,G (Feb 2020),19.5,19.88,19.35,19.4,19.375,-0.25,3785,0,11126
2019-08-29,G (Feb 2020),19.4,19.52,18.95,19.05,19.025,-0.35,3455,0,11621
2019-08-30,G (Feb 2020),19.05,19.27,18.85,19.15,19.2,0.175,3308,0,12320
2019-09-03,G (Feb 2020),19.31,19.65,19.1,19.52,19.525,0.325,6501,0,13975
2019-09-04,G (Feb 2020),19.55,19.55,18.95,18.99,18.975,-0.55,3276,0,14076
2019-09-05,G (Feb 2020),18.99,19.0,18.55,18.8,18.725,-0.25,3296,0,13821
2019-09-06,G (Feb 2020),18.78,18.78,18.47,18.5,18.525,-0.2,3235,0,14021
2019-09-09,G (Feb 2020),18.47,18.72,18.38,18.5,18.525,0.0,2511,0,14377
2019-09-10,G (Feb 2020),18.52,18.75,18.45,18.62,18.625,0.1,2786,0,14789
2019-09-11,G (Feb 2020),18.65,18.65,18.44,18.51,18.525,-0.1,2306,0,15087
2019-09-12,G (Feb 2020),18.53,18.53,18.29,18.35,18.375,-0.15,2992,0,15099
2019-09-13,G (Feb 2020),18.37,18.42,18.2,18.37,18.375,0.0,3137,0,15237
2019-09-16,G (Feb 2020),18.5,18.67,18.35,18.64,18.675,0.3,3208,0,15406
2019-09-17,G (Feb 2020),18.6,18.85,18.6,18.8,18.775,0.1,4945,0,15016
2019-09-18,G (Feb 2020),18.8,18.9,18.5,18.51,18.525,-0.25,7684,0,14219
2019-09-19,G (Feb 2020),18.5,18.75,18.25,18.53,18.525,0.0,6106,0,13754
2019-09-20,G (Feb 2020),18.53,19.1,18.36,19.06,19.075,0.55,7649,0,14259
2019-09-23,G (Feb 2020),19.05,19.11,18.81,18.86,18.875,-0.2,3831,0,14556
2019-09-24,G (Feb 2020),18.85,19.33,18.72,19.22,19.275,0.4,7258,0,14726
2019-09-25,G (Feb 2020),19.23,19.43,19.06,19.13,19.125,-0.15,4996,0,14953
2019-09-26,G (Feb 2020),19.15,19.37,18.97,19.22,19.2,0.075,7003,0,15904
2019-09-27,G (Feb 2020),19.25,19.62,19.05,19.37,19.425,0.225,6440,0,16476
2019-09-30,G (Feb 2020),19.29,19.4,19.05,19.1,19.075,-0.35,5734,0,17230
2019-10-01,G (Feb 2020),19.1,19.7,18.93,19.58,19.625,0.55,7377,0,19244
2019-10-02,G (Feb 2020),19.6,20.3,19.45,20.2,20.275,0.65,10786,0,20153
2019-10-03,G (Feb 2020),20.15,20.56,19.8,19.83,19.875,-0.4,7761,0,20954
2019-10-04,G (Feb 2020),19.85,20.02,19.35,19.44,19.375,-0.5,6382,0,21423
2019-10-07,G (Feb 2020),19.75,19.75,19.26,19.47,19.475,0.1,5958,0,21415
2019-10-08,G (Feb 2020),19.5,20.3,19.3,20.24,20.275,0.8,6753,0,22686
2019-10-09,G (Feb 2020),20.25,20.25,19.75,19.91,19.975,-0.3,6189,0,22542
2019-10-10,G (Feb 2020),19.95,20.45,19.45,19.54,19.625,-0.35,8210,110,22589
2019-10-11,G (Feb 2020),19.5,19.55,18.95,19.28,19.325,-0.3,10206,0,23484
2019-10-14,G (Feb 2020),19.2,19.4,18.93,18.95,18.975,-0.35,5959,0,23391
