Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2017-06-26,H (Mar 2018),0.0,0.0,0.0,0.0,16.675,0.0,0,0,0
2017-06-27,H (Mar 2018),16.98,17.15,16.95,17.15,17.125,0.45,32,0,32
2017-06-28,H (Mar 2018),17.15,17.15,16.9,17.0,17.0,-0.125,13,0,39
2017-06-29,H (Mar 2018),16.9,17.55,16.9,17.18,17.15,0.15,218,0,218
2017-06-30,H (Mar 2018),17.15,17.22,17.05,17.2,17.2,0.05,81,0,289
2017-07-03,H (Mar 2018),17.12,17.35,16.95,17.34,17.3,0.1,405,0,568
2017-07-05,H (Mar 2018),17.17,17.36,17.1,17.28,17.25,-0.05,169,0,673
2017-07-06,H (Mar 2018),17.2,17.46,17.04,17.46,17.4,0.15,690,0,1078
2017-07-07,H (Mar 2018),17.35,17.45,17.3,17.4,17.4,0.0,228,0,1225
2017-07-10,H (Mar 2018),17.3,17.36,17.15,17.17,17.15,-0.25,159,0,1309
2017-07-11,H (Mar 2018),17.15,17.35,17.15,17.17,17.1,-0.05,97,0,1384
2017-07-12,H (Mar 2018),17.05,17.06,16.95,17.02,17.0,-0.1,698,0,1942
2017-07-13,H (Mar 2018),16.95,16.95,16.79,16.87,16.85,-0.15,45,0,1942
2017-07-14,H (Mar 2018),16.86,16.86,16.55,16.55,16.575,-0.275,403,0,2129
2017-07-17,H (Mar 2018),16.5,16.65,16.5,16.65,16.6,0.025,409,0,2389
2017-07-18,H (Mar 2018),16.65,16.8,16.6,16.7,16.675,0.075,1116,0,2951
2017-07-19,H (Mar 2018),16.7,16.75,16.53,16.65,16.625,-0.05,1321,0,3650
2017-07-20,H (Mar 2018),16.67,16.8,16.62,16.62,16.625,0.0,758,0,3840
2017-07-21,H (Mar 2018),16.6,16.74,16.53,16.55,16.55,-0.075,797,0,4282
2017-07-24,H (Mar 2018),16.6,16.62,16.34,16.35,16.35,-0.2,320,0,4446
2017-07-25,H (Mar 2018),16.37,16.37,16.17,16.27,16.275,-0.075,951,0,4936
2017-07-26,H (Mar 2018),16.26,16.26,16.08,16.18,16.175,-0.1,1476,0,5715
2017-07-27,H (Mar 2018),16.2,16.35,16.0,16.05,16.05,-0.125,1282,0,6392
2017-07-28,H (Mar 2018),16.02,16.2,16.02,16.04,16.025,-0.025,607,0,6529
2017-07-31,H (Mar 2018),16.09,16.25,16.0,16.05,16.075,0.05,1923,0,7393
2017-08-01,H (Mar 2018),16.05,16.05,15.8,15.83,15.825,-0.25,489,0,7574
2017-08-02,H (Mar 2018),15.8,15.97,15.7,15.9,15.9,0.075,1430,0,7884
2017-08-03,H (Mar 2018),15.95,16.05,15.93,16.0,15.975,0.075,1399,0,8321
2017-08-04,H (Mar 2018),16.07,16.15,15.95,16.13,16.125,0.15,1415,0,8965
2017-08-07,H (Mar 2018),16.15,16.18,16.05,16.1,16.075,-0.05,565,0,9351
2017-08-08,H (Mar 2018),16.1,16.41,16.05,16.29,16.275,0.2,1566,0,9780
2017-08-09,H (Mar 2018),16.32,16.54,16.2,16.35,16.375,0.1,2062,0,10586
2017-08-10,H (Mar 2018),16.37,17.14,16.32,17.1,17.125,0.75,1436,0,10748
2017-08-11,H (Mar 2018),17.15,17.3,16.75,17.3,17.325,0.2,1271,0,11189
2017-08-14,H (Mar 2018),17.25,17.25,16.35,16.37,16.35,-0.975,885,0,11341
2017-08-15,H (Mar 2018),16.35,16.43,16.12,16.4,16.375,0.025,1042,0,11643
2017-08-16,H (Mar 2018),16.4,16.4,16.12,16.25,16.275,-0.1,2520,0,12333
2017-08-17,H (Mar 2018),16.3,17.06,16.28,16.81,16.825,0.55,3085,0,13297
2017-08-18,H (Mar 2018),16.8,16.95,16.49,16.93,16.925,0.1,1891,0,13529
2017-08-21,H (Mar 2018),16.95,16.99,16.67,16.67,16.675,-0.25,1354,0,13783
2017-08-22,H (Mar 2018),16.6,16.65,16.16,16.16,16.175,-0.5,1556,0,14065
2017-08-23,H (Mar 2018),16.15,16.5,16.13,16.43,16.425,0.25,1502,0,14206
2017-08-24,H (Mar 2018),16.47,16.59,16.23,16.42,16.425,0.0,1376,0,14386
2017-08-25,H (Mar 2018),16.45,16.55,16.3,16.39,16.4,-0.025,1206,0,14563
2017-08-28,H (Mar 2018),16.39,16.55,16.28,16.34,16.325,-0.075,1330,0,14598
2017-08-29,H (Mar 2018),16.3,16.92,16.3,16.4,16.425,0.1,1620,0,14762
2017-08-30,H (Mar 2018),16.42,16.5,16.37,16.45,16.475,0.05,1343,0,14965
2017-08-31,H (Mar 2018),16.5,16.55,16.3,16.3,16.325,-0.15,2675,0,15047
2017-09-01,H (Mar 2018),16.32,16.4,16.24,16.32,16.325,0.0,2065,0,15321
2017-09-05,H (Mar 2018),16.35,17.45,15.85,16.34,16.325,0.0,2961,0,15812
2017-09-06,H (Mar 2018),16.38,16.67,16.34,16.6,16.625,0.3,3032,0,16779
2017-09-07,H (Mar 2018),16.6,16.75,16.5,16.63,16.625,0.0,2208,0,16855
2017-09-08,H (Mar 2018),16.61,16.85,16.61,16.75,16.725,0.1,1202,0,16792
2017-09-11,H (Mar 2018),16.65,16.65,16.4,16.45,16.475,-0.25,2718,0,17341
2017-09-12,H (Mar 2018),16.45,16.57,16.25,16.28,16.275,-0.2,2889,0,17362
2017-09-13,H (Mar 2018),16.25,16.35,16.04,16.05,16.075,-0.2,3578,0,17665
2017-09-14,H (Mar 2018),16.06,16.2,15.96,16.18,16.175,0.1,2162,0,18018
2017-09-15,H (Mar 2018),16.19,16.32,16.08,16.12,16.125,-0.05,1770,0,18515
2017-09-18,H (Mar 2018),16.07,16.15,15.75,15.83,15.825,-0.3,5777,0,19698
2017-09-19,H (Mar 2018),15.82,16.0,15.75,15.97,15.975,0.15,4750,0,21193
2017-09-20,H (Mar 2018),15.96,16.05,15.8,15.84,15.825,-0.15,5316,0,22550
2017-09-21,H (Mar 2018),15.87,15.95,15.77,15.92,15.925,0.1,4300,0,23115
2017-09-22,H (Mar 2018),15.9,16.15,15.9,16.08,16.075,0.15,2839,0,23660
2017-09-25,H (Mar 2018),16.07,16.3,15.95,16.0,16.025,-0.05,2651,0,23790
2017-09-26,H (Mar 2018),16.0,16.1,15.88,15.9,15.925,-0.1,1468,0,23629
