,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2018-02-20,X (Nov 2018),0.0,0.0,0.0,0.0,17.775,0.0,0,0,0
1,2018-02-21,X (Nov 2018),17.75,17.98,17.62,17.98,18.175,0.4,143,0,122
2,2018-02-22,X (Nov 2018),17.9,18.0,17.7,17.71,17.65,-0.525,10,0,126
3,2018-02-23,X (Nov 2018),17.73,17.74,15.25,17.3,17.3,-0.35,67,0,171
4,2018-02-26,X (Nov 2018),17.25,17.25,16.9,16.9,17.025,-0.275,77,0,236
5,2018-02-27,X (Nov 2018),17.15,17.7,17.12,17.7,17.6,0.575,61,0,248
6,2018-02-28,X (Nov 2018),17.47,17.85,17.47,17.81,17.8,0.2,68,0,312
7,2018-03-01,X (Nov 2018),18.0,18.5,17.75,18.14,18.2,0.4,92,0,378
8,2018-03-02,X (Nov 2018),18.17,18.71,18.09,18.11,18.05,-0.15,123,0,479
9,2018-03-05,X (Nov 2018),18.35,18.35,17.78,17.82,17.825,-0.225,210,0,637
10,2018-03-06,X (Nov 2018),17.77,18.1,17.77,17.97,18.0,0.175,166,0,751
11,2018-03-07,X (Nov 2018),18.15,18.5,18.08,18.12,18.125,0.125,154,0,884
12,2018-03-08,X (Nov 2018),18.05,18.1,17.83,18.07,17.95,-0.175,386,0,1186
13,2018-03-09,X (Nov 2018),17.91,17.91,17.37,17.49,17.725,-0.225,176,0,1307
14,2018-03-12,X (Nov 2018),17.46,17.75,17.44,17.63,17.7,-0.025,211,0,1504
15,2018-03-13,X (Nov 2018),17.62,18.0,17.58,17.88,17.9,0.2,187,0,1645
16,2018-03-14,X (Nov 2018),17.96,18.2,17.68,18.19,18.1,0.2,344,0,1872
17,2018-03-15,X (Nov 2018),18.11,18.2,17.76,17.8,17.8,-0.3,636,0,2417
18,2018-03-16,X (Nov 2018),17.8,17.87,17.67,17.73,17.8,0.0,315,0,2642
19,2018-03-19,X (Nov 2018),17.86,18.42,17.85,17.95,17.975,0.175,280,0,2809
20,2018-03-20,X (Nov 2018),18.14,18.25,17.95,18.05,18.075,0.1,236,0,2936
21,2018-03-21,X (Nov 2018),18.12,18.2,17.7,18.03,18.05,-0.025,936,0,3427
22,2018-03-22,X (Nov 2018),18.05,18.65,17.95,18.45,18.475,0.425,1585,0,4275
23,2018-03-23,X (Nov 2018),18.48,18.9,18.18,18.74,18.875,0.4,1937,0,5334
24,2018-03-26,X (Nov 2018),18.87,18.87,18.37,18.56,18.55,-0.325,444,0,5480
25,2018-03-27,X (Nov 2018),18.5,19.31,18.42,19.14,19.15,0.6,982,0,5663
26,2018-03-28,X (Nov 2018),19.15,19.75,19.05,19.52,19.575,0.425,1016,0,6023
27,2018-03-29,X (Nov 2018),19.46,19.55,18.97,19.05,19.1,-0.475,206,0,6038
28,2018-04-02,X (Nov 2018),19.2,19.87,19.1,19.43,19.45,0.35,479,0,6239
29,2018-04-03,X (Nov 2018),19.35,19.66,19.13,19.26,19.25,-0.2,864,0,6562
30,2018-04-04,X (Nov 2018),19.3,19.82,19.07,19.12,19.125,-0.125,850,0,6884
31,2018-04-05,X (Nov 2018),19.13,19.25,18.95,18.95,18.975,-0.15,1569,0,7481
32,2018-04-06,X (Nov 2018),18.98,19.83,18.95,19.46,19.425,0.45,605,0,7712
33,2018-04-09,X (Nov 2018),19.3,19.6,19.2,19.6,19.525,0.1,558,0,7865
34,2018-04-10,X (Nov 2018),19.58,19.69,19.25,19.41,19.425,-0.1,1074,0,8291
35,2018-04-11,X (Nov 2018),19.44,19.73,19.41,19.63,19.625,0.2,1341,0,9151
36,2018-04-12,X (Nov 2018),19.6,19.64,19.16,19.16,19.2,-0.425,526,0,9166
37,2018-04-13,X (Nov 2018),19.2,19.3,18.91,18.92,18.95,-0.25,1406,0,9042
38,2018-04-16,X (Nov 2018),18.8,18.92,18.58,18.7,18.675,-0.275,818,0,9204
39,2018-04-17,X (Nov 2018),18.66,18.7,18.25,18.31,18.325,-0.35,1683,0,9680
40,2018-04-18,X (Nov 2018),18.36,18.56,18.0,18.1,18.125,-0.2,1654,0,9975
41,2018-04-19,X (Nov 2018),18.1,18.35,18.07,18.12,18.125,0.0,1743,0,10188
42,2018-04-20,X (Nov 2018),18.15,18.35,18.03,18.23,18.225,0.1,1748,0,10447
43,2018-04-23,X (Nov 2018),18.18,18.35,17.95,18.21,18.225,0.0,1209,0,10575
44,2018-04-24,X (Nov 2018),18.2,18.8,17.95,18.21,18.2,-0.025,1817,0,10522
45,2018-04-25,X (Nov 2018),18.15,18.6,18.15,18.39,18.475,0.275,2213,0,10960
46,2018-04-26,X (Nov 2018),18.36,18.48,18.0,18.02,18.025,-0.45,1448,0,11445
47,2018-04-27,X (Nov 2018),18.0,18.22,17.95,18.0,18.025,0.0,1474,0,11547
48,2018-04-30,X (Nov 2018),17.96,18.13,17.82,18.11,18.075,0.05,988,0,11669
49,2018-05-01,X (Nov 2018),18.15,18.2,17.71,17.75,17.75,-0.325,1668,0,12199
50,2018-05-02,X (Nov 2018),17.85,17.98,17.55,17.97,17.975,0.225,1150,0,12297
51,2018-05-03,X (Nov 2018),17.95,18.4,17.8,17.81,17.825,-0.15,3043,0,13024
52,2018-05-04,X (Nov 2018),17.85,18.07,17.6,17.65,17.65,-0.175,1292,0,13286
53,2018-05-07,X (Nov 2018),17.61,17.75,17.55,17.7,17.7,0.05,1538,0,13797
54,2018-05-08,X (Nov 2018),17.75,17.83,17.63,17.66,17.675,-0.025,2360,0,14506
55,2018-05-09,X (Nov 2018),17.69,17.7,17.35,17.35,17.375,-0.3,2263,0,14803
56,2018-05-10,X (Nov 2018),17.4,17.42,16.92,17.0,16.975,-0.4,2611,0,15200
57,2018-05-11,X (Nov 2018),17.0,17.0,16.76,16.81,16.775,-0.2,1822,0,15628
58,2018-05-14,X (Nov 2018),16.85,16.85,16.5,16.52,16.575,-0.2,3020,0,16020
59,2018-05-15,X (Nov 2018),16.51,17.1,16.5,17.06,17.075,0.5,2658,0,16181
60,2018-05-16,X (Nov 2018),17.07,17.12,16.55,16.72,16.775,-0.3,5397,0,16564
61,2018-05-17,X (Nov 2018),16.75,16.85,16.54,16.65,16.675,-0.1,2686,0,16702
62,2018-05-18,X (Nov 2018),16.63,16.87,16.55,16.82,16.825,0.15,1702,0,16716
63,2018-05-21,X (Nov 2018),16.75,16.75,16.35,16.4,16.425,-0.4,2149,0,16411
64,2018-05-22,X (Nov 2018),16.41,16.67,16.28,16.6,16.625,0.2,2554,0,16516
65,2018-05-23,X (Nov 2018),16.63,16.93,16.35,16.4,16.425,-0.2,3493,0,16729
