,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2018-08-27,K (May 2019),16.7,16.85,16.69,16.8,16.875,0.0,14,0,13
1,2018-08-28,K (May 2019),16.9,17.05,16.9,17.05,16.95,0.075,71,0,109
2,2018-08-29,K (May 2019),17.05,17.05,16.95,17.05,16.95,0.0,5,0,75
3,2018-08-30,K (May 2019),16.95,17.3,16.95,17.25,17.2,0.25,66,0,146
4,2018-08-31,K (May 2019),16.75,17.15,16.75,16.75,16.95,-0.25,1,0,131
5,2018-09-04,K (May 2019),17.07,17.25,17.07,17.12,17.05,0.1,135,0,237
6,2018-09-05,K (May 2019),17.2,17.27,17.16,17.17,17.175,0.125,170,0,323
7,2018-09-06,K (May 2019),17.2,17.4,17.19,17.4,17.3,0.125,469,0,534
8,2018-09-07,K (May 2019),17.4,17.5,17.31,17.47,17.375,0.075,319,0,688
9,2018-09-10,K (May 2019),17.33,17.4,17.25,17.27,17.3,-0.075,298,0,850
10,2018-09-11,K (May 2019),17.25,17.41,17.02,17.05,17.025,-0.275,469,0,1076
11,2018-09-12,K (May 2019),17.05,17.06,16.84,16.93,16.975,-0.05,572,0,1374
12,2018-09-13,K (May 2019),16.81,16.95,16.75,16.78,16.775,-0.2,114,0,1435
13,2018-09-14,K (May 2019),16.75,16.85,16.61,16.66,16.65,-0.125,307,0,1600
14,2018-09-17,K (May 2019),16.67,16.85,16.65,16.85,16.8,0.15,215,0,1696
15,2018-09-18,K (May 2019),16.8,16.9,16.68,16.86,16.8,0.0,199,0,1819
16,2018-09-19,K (May 2019),16.8,16.8,16.66,16.7,16.725,-0.075,893,0,2211
17,2018-09-20,K (May 2019),16.71,16.72,16.58,16.66,16.675,-0.05,690,0,2618
18,2018-09-21,K (May 2019),16.68,16.85,16.65,16.85,16.825,0.15,495,0,2799
19,2018-09-24,K (May 2019),16.85,16.92,16.68,16.7,16.7,-0.125,590,0,3091
20,2018-09-25,K (May 2019),16.61,16.82,16.59,16.71,16.725,0.025,583,0,3391
21,2018-09-26,K (May 2019),16.65,16.98,16.65,16.87,16.875,0.15,486,0,3672
22,2018-09-27,K (May 2019),16.84,16.87,16.64,16.75,16.8,-0.075,499,0,3860
23,2018-09-28,K (May 2019),16.83,16.85,16.6,16.71,16.7,-0.1,321,0,3959
24,2018-10-01,K (May 2019),16.63,16.75,16.51,16.68,16.7,0.0,287,0,4089
25,2018-10-02,K (May 2019),16.7,16.79,16.6,16.77,16.775,0.075,327,0,4197
26,2018-10-03,K (May 2019),16.76,16.8,16.6,16.68,16.7,-0.075,416,0,4383
27,2018-10-04,K (May 2019),16.85,17.15,16.75,16.85,16.875,0.175,868,0,4680
28,2018-10-05,K (May 2019),16.8,17.38,16.75,16.98,17.0,0.125,3159,0,6305
29,2018-10-08,K (May 2019),17.01,17.7,17.0,17.15,17.175,0.175,3023,0,8068
