CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
03/23/2015,Z (Dec 15),0.00,0.00,0.00,0.00,19.1750,19.18,0,0,0
03/24/2015,Z (Dec 15),0.00,19.10,19.35,0.00,19.2500,0.08,0,0,0
03/25/2015,Z (Dec 15),19.45,19.55,19.25,19.55,19.5500,0.30,6,0,4
03/26/2015,Z (Dec 15),19.55,19.75,19.45,19.53,19.4500,-0.10,12,0,13
03/27/2015,Z (Dec 15),19.43,19.55,19.40,19.42,19.4250,-0.02,41,0,51
03/30/2015,Z (Dec 15),19.35,19.42,19.24,19.38,19.4000,-0.02,125,0,160
03/31/2015,Z (Dec 15),19.39,19.60,19.37,19.57,19.6000,0.20,52,0,198
04/01/2015,Z (Dec 15),19.70,19.75,19.55,19.61,19.6250,0.02,34,0,224
04/02/2015,Z (Dec 15),19.70,19.70,19.59,19.62,19.6500,0.02,144,0,354
04/06/2015,Z (Dec 15),19.70,19.75,19.35,19.45,19.4250,19.42,114,0,462
04/07/2015,Z (Dec 15),19.34,19.45,19.30,19.40,19.3750,-0.05,37,0,482
04/08/2015,Z (Dec 15),19.37,19.40,19.25,19.40,19.3500,-0.02,49,0,455
04/09/2015,Z (Dec 15),19.40,19.50,19.20,19.20,19.2000,-0.15,470,0,1058
04/10/2015,Z (Dec 15),19.27,19.27,18.75,18.76,18.7500,-0.45,264,0,1060
04/13/2015,Z (Dec 15),18.74,19.05,18.50,19.04,19.0250,0.28,228,0,1175
04/14/2015,Z (Dec 15),19.05,19.15,18.90,19.10,19.0500,0.02,485,0,1647
04/15/2015,Z (Dec 15),19.05,19.05,18.85,18.99,18.9750,-0.08,590,0,1878
04/16/2015,Z (Dec 15),18.96,19.10,18.85,18.95,18.9500,-0.02,572,0,2354
04/17/2015,Z (Dec 15),19.00,19.40,18.95,19.20,19.2000,0.25,757,0,2840
04/20/2015,Z (Dec 15),19.00,19.07,18.95,19.00,18.9750,-0.22,301,0,2770
04/21/2015,Z (Dec 15),19.00,19.10,18.85,19.04,19.0250,0.05,111,0,2693
04/22/2015,Z (Dec 15),19.05,19.10,18.90,18.93,18.9750,-0.05,59,0,2702
04/23/2015,Z (Dec 15),19.05,19.05,18.75,18.85,18.8250,-0.15,454,0,3098
04/24/2015,Z (Dec 15),18.85,18.87,18.80,18.85,18.8250,0.00,166,0,3104
04/27/2015,Z (Dec 15),18.80,19.02,18.73,18.98,18.9750,0.15,326,0,3206
04/28/2015,Z (Dec 15),19.00,19.24,18.60,18.60,18.6250,-0.35,415,0,3612
04/29/2015,Z (Dec 15),18.67,18.95,18.67,18.95,18.9750,0.35,154,0,3489
04/30/2015,Z (Dec 15),19.00,19.25,18.90,19.05,19.0500,0.08,521,0,3886
05/01/2015,Z (Dec 15),19.00,19.00,18.65,18.70,18.7250,-0.32,119,0,3756
05/04/2015,Z (Dec 15),18.60,18.80,18.60,18.70,18.7250,0.00,283,0,3864
05/05/2015,Z (Dec 15),18.70,18.98,18.70,18.88,18.9000,0.18,585,0,4107
05/06/2015,Z (Dec 15),18.85,19.25,18.75,18.95,18.9250,0.02,982,0,4608
05/07/2015,Z (Dec 15),18.98,19.20,18.80,18.90,18.8750,-0.05,416,0,4617
05/08/2015,Z (Dec 15),18.80,18.81,18.49,18.64,18.6500,-0.22,447,0,4612
05/11/2015,Z (Dec 15),18.65,19.00,18.60,18.95,18.9250,0.28,924,0,5334
05/12/2015,Z (Dec 15),18.94,19.16,18.80,18.83,18.8000,-0.12,326,0,5395
05/13/2015,Z (Dec 15),18.81,18.82,18.63,18.65,18.6250,-0.18,693,0,5525
05/14/2015,Z (Dec 15),18.63,18.65,18.52,18.55,18.5750,-0.05,531,0,5861
05/15/2015,Z (Dec 15),18.56,18.63,18.47,18.50,18.4750,-0.10,811,0,6101
05/18/2015,Z (Dec 15),18.52,18.54,18.10,18.10,18.1500,-0.32,568,0,6295
05/19/2015,Z (Dec 15),18.10,18.15,17.96,18.05,18.0500,-0.10,768,0,6724
05/20/2015,Z (Dec 15),18.08,18.15,17.93,18.10,18.1250,0.08,1463,0,7316
05/21/2015,Z (Dec 15),18.10,18.18,17.87,17.90,17.8750,-0.25,2959,0,8525
05/22/2015,Z (Dec 15),17.95,18.10,17.85,18.10,18.0750,0.20,938,0,8659
05/26/2015,Z (Dec 15),18.05,18.32,17.95,18.10,18.0750,0.00,3999,0,9056
05/27/2015,Z (Dec 15),18.10,18.15,17.80,18.00,17.9750,-0.10,1488,0,9605
05/28/2015,Z (Dec 15),18.00,18.13,17.95,18.05,18.0250,0.05,1168,0,9753
05/29/2015,Z (Dec 15),18.00,18.20,17.99,18.10,18.0750,0.05,1889,0,9844
06/01/2015,Z (Dec 15),18.11,18.15,17.94,18.00,17.9750,-0.10,1336,0,10133
06/02/2015,Z (Dec 15),17.97,18.25,17.97,18.25,18.2250,0.25,1531,0,10289
06/03/2015,Z (Dec 15),18.20,18.21,18.00,18.03,18.0250,-0.20,1455,0,10594
06/04/2015,Z (Dec 15),18.05,18.40,18.05,18.26,18.2750,0.25,1541,0,10616
06/05/2015,Z (Dec 15),18.29,18.40,18.12,18.35,18.3250,0.05,2740,0,11551
06/08/2015,Z (Dec 15),18.30,18.49,18.25,18.45,18.4250,0.10,1727,0,12070
06/09/2015,Z (Dec 15),18.35,18.50,18.28,18.35,18.3750,-0.05,1724,0,12586
06/10/2015,Z (Dec 15),18.35,18.36,17.95,18.00,17.9750,-0.40,2414,0,13497
06/11/2015,Z (Dec 15),18.00,18.05,17.80,17.90,17.8750,-0.10,2447,0,14332
06/12/2015,Z (Dec 15),17.85,18.05,17.82,17.95,17.9750,0.10,2665,0,14888
06/15/2015,Z (Dec 15),18.05,18.30,17.93,18.30,18.2750,0.30,3206,0,15606
06/16/2015,Z (Dec 15),18.24,18.39,18.00,18.15,18.1250,-0.15,5025,0,16813
06/17/2015,Z (Dec 15),18.12,18.30,17.97,18.05,18.0750,-0.05,3152,0,16512
06/18/2015,Z (Dec 15),18.09,18.18,17.75,17.80,17.8250,-0.25,6649,0,18211
06/19/2015,Z (Dec 15),17.85,18.00,17.80,18.00,17.9750,0.15,5070,0,16960
06/22/2015,Z (Dec 15),17.90,17.94,17.50,17.56,17.5750,-0.40,3286,0,17437
06/23/2015,Z (Dec 15),17.57,17.57,17.39,17.42,17.4250,-0.15,2699,0,17851
06/24/2015,Z (Dec 15),17.40,17.55,17.30,17.52,17.5250,0.10,5198,0,17905
06/25/2015,Z (Dec 15),17.50,17.55,17.27,17.55,17.5000,-0.02,4442,0,18880
06/26/2015,Z (Dec 15),17.45,17.52,17.25,17.35,17.3750,-0.12,2963,0,18621
06/29/2015,Z (Dec 15),17.50,18.40,17.50,18.24,18.2250,0.85,6314,0,18560
