CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
01/26/2015,V (Oct 15),0.00,19.55,20.25,0.00,19.8000,19.80,0,0,0
01/27/2015,V (Oct 15),0.00,19.85,20.35,0.00,20.2250,0.42,0,0,0
01/28/2015,V (Oct 15),0.00,21.10,20.00,0.00,21.4250,1.20,0,0,0
01/29/2015,V (Oct 15),0.00,20.55,20.65,0.00,20.2250,-1.20,0,0,0
01/30/2015,V (Oct 15),21.46,21.46,20.70,21.17,21.0500,0.82,2,0,0
02/02/2015,V (Oct 15),0.00,20.05,22.95,0.00,21.9250,0.88,0,0,0
02/03/2015,V (Oct 15),0.00,20.35,20.50,0.00,20.9750,-0.95,0,0,0
02/04/2015,V (Oct 15),0.00,20.65,20.60,0.00,20.7000,-0.28,0,0,0
02/05/2015,V (Oct 15),0.00,20.30,20.50,0.00,20.2750,-0.42,0,0,0
02/06/2015,V (Oct 15),20.95,20.95,20.20,20.95,20.7500,0.48,1,0,1
02/09/2015,V (Oct 15),20.95,20.96,20.85,20.96,20.8750,0.12,11,0,6
02/10/2015,V (Oct 15),20.70,20.70,20.60,20.68,20.5000,-0.38,2,0,8
02/11/2015,V (Oct 15),20.55,20.75,20.50,20.75,20.4250,-0.08,11,0,13
02/12/2015,V (Oct 15),20.40,20.55,20.04,20.04,20.2000,-0.22,14,0,24
02/13/2015,V (Oct 15),0.00,20.20,19.95,0.00,19.7750,-0.42,0,0,24
02/17/2015,V (Oct 15),20.00,20.20,19.95,20.19,20.1500,0.38,14,0,31
02/18/2015,V (Oct 15),20.15,20.15,19.98,20.10,20.1250,-0.02,161,0,230
02/19/2015,V (Oct 15),20.15,20.21,20.03,20.15,20.1250,0.00,167,0,287
02/20/2015,V (Oct 15),20.15,20.25,19.75,19.80,19.8750,-0.25,114,0,332
